NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06954792,Biventricular Remodeling in Transcatheter Tricuspid Valve Replacement - Acute Hemodynamic Instability Study,https://clinicaltrials.gov/study/NCT06954792,TTVR-AHI,ENROLLING_BY_INVITATION,"TTVR-AHI is a multicenter, retrospective registry including heart failure patients displaying a severe and symptomatic tricuspid regurgitation (TR), deemed non-eligible to cardiac surgery and therefore treated with transcatheter tricuspid valve replacement (TTVR) devices. This substudy of the main registry will focus on those with post-procedural acute hemodynamic instability (AHI).",NO,Tricuspid Regurgitation|Heart Failure|Structural Heart Disease|Interventional Cardiology,,"Mortality Rate, The prognosis of AHI after TTVR will be measured as the rate of all cause mortality in comparison to the control group., 1 Year","Number of Participants with Coronary Artery Disease (CAD), Provide a multimodality description of the AHI population in comparison to the control group by defining the specificities of the AHI population.

The number of participants with CAD will be reported., Baseline (Day 0)|Number of Participants with Right Ventricular (RV) Dysfunction, Provide a multimodality description of the AHI population in comparison to the control group by defining the specificities of the AHI population.

The number of participants with RV dysfunction will be reported., Baseline (Day 0)|Number of Participants with Pulmonary Hypertension, Provide a multimodality description of the AHI population in comparison to the control group by defining the specificities of the AHI population. The number of participants with pulmonary hypertension will be reported., Baseline (Day 0)|Number of Participants with Primary Left Ventricular Cardiomyopathy, Provide a multimodality description of the AHI population in comparison to the control group by defining the specificities of the AHI population. The number of participants with primary left ventricular cardiomyopathy will be reported., Baseline (Day 0)|Number of Participants with Post-Procedural Fever, The number of participants with post-procedural fever will be reported and used to define the factors associated with the occurrence of AHI after TTVR in multivariable analysis., Within 48 hours after the procedure|Number of Participants with Post-procedural Inflammatory Response, The number of participants with post-procedural inflammatory response will be reported and used to define the factors associated with the occurrence of AHI after TTVR in multivariable analysis., Within 48 hours after the procedure|Number of Participants with AHI, Number of Participants with AHI among all the population screened, Within 24 hours after the procedure",,Columbia University,,ALL,"ADULT, OLDER_ADULT",,140,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,AAAV0931,2025-05-01,2026-05-01,2026-05-01,2025-05-02,,2025-05-02,"Columbia University Medical Center, New York, New York, 10032, United States",
NCT06954779,Arginine Plaque Metabolism Pilot Clinical Study,https://clinicaltrials.gov/study/NCT06954779,,COMPLETED,Proof of concept clinical study to measure plaque metabolism and the prebiotic efficacy of arginine-containing toothpaste.,NO,"Plaque, Dental",DRUG: Colgate Cavity Protection|DRUG: TOM's Superior Sensitivity Relief Toothpaste,"Plaque collection, Fasting plaque will be collected before and after a sucrose rinse for lactic acid analysis and ammonia production.The plaque pH of collected samples will also be measured to provide trend data., baseline, week 3, week 4, week 6, week 7, week 8, week 9","Saliva collection, Differences in the arginine concentration in saliva pre- and post-brushing with treatment. Differences in microbiome composition and activity, week 5 and week 9",,Colgate Palmolive,,ALL,"ADULT, OLDER_ADULT",PHASE3,20,INDUSTRY,INTERVENTIONAL,"Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",CRO-2023-SAL-05-EG,2024-07-24,2024-09-20,2024-09-20,2025-05-02,,2025-05-02,"Volpe Clinical Center, Piscataway, New Jersey, 08854, United States",
NCT06954766,Initial Pilot Study to Evaluate the Safety and Temporary Symptom Improvement Efficacy of CKD-981,https://clinicaltrials.gov/study/NCT06954766,,RECRUITING,The purpose of this study is to prove that the temporary symptom improvement effect on knee osteoarthritis using CKD-981,NO,Knee Osteoarthritis,DEVICE: CKD-981(1)|DEVICE: CKD-981(2)|DEVICE: Sham device|DRUG: Active comparator|DRUG: Placebo,"Visual Analog Scale (VAS), 6 Weeks","Visual Analog Scale (VAS), 2 weeks, 4 weeks|K-WOMAC(Korean Western Ontario and McMasters Universities), 2 weeks, 4 weeks, 6 weeks",,Chong Kun Dang Pharmaceutical,,ALL,"ADULT, OLDER_ADULT",PHASE2,100,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",A145_01OA2401,2025-05,2025-10,2025-11,2025-05-02,,2025-05-02,"Wonju Severance Christian Hospital, Wonju, Korea, Republic of",
NCT06954753,Predicting Cancer in Pancreatic Cystic Lesions Through Artificial Intelligence,https://clinicaltrials.gov/study/NCT06954753,,NOT_YET_RECRUITING,"This international, multicenter retrospective study aims to develop a deep learning (DL)-based predictive model to identify malignant transformation in pancreatic cystic lesions, improving upon current clinical guidelines. The model will integrate clinical, biochemical, and multimodal imaging data. Several 3D convolutional neural networks will be trained using advanced preprocessing, data augmentation, and hybrid fusion techniques. Model performance will be compared to that of existing international guidelines. The study involves no additional procedures for patients and adheres to strict data anonymization and privacy regulations.",NO,Pancreatic Cancer|Pancreatic Cystic Lesions,PROCEDURE: Pancreatic surgery,"Prediction of malignant degeneration of pancreatic cystics lesions, Predict the presence of malignant degeneration (defined as: high grade dysplasia, in situ PADC, or T1 PADC) in pancreatic cystic lesion(s) using artificial intelligence model based on clinical, biochemical, and radiological features. This will be measured through Area Under the Receiver Operator Characteristic curve (AUROC) assesment. AUROC varies between 0.5 and 1, corresponding to no class separation capacity and full class separation capacity, respectively., 90 days from patients hospital discharge.","Accuracy of performance evaluation, the number of true positives and true negatives among all predictions. It varies between 0 (no correct prediction) to 1 (full correct predictions)., 90 days from patients hospital discharge.|Precision of performance evaluation, The number of true positives divided by all the positive predictions (true positives and false positives). It varies between 0 (no correct prediction) to 1 (full correct predictions)., 90 days from patients hospital discharge.|Recall of performance evaluation, The number of true positives divided by the actual positive instances in the dataset (true positives and false negatives). It varies between 0 (no correct prediction) to 1 (full correct predictions)., 90 days from patients hospital discharge.|Balanced accuracy, the aritmethic mean of sensitivity and specificity. It varies between 0 (no correct prediction) to 1 (full correct predictions)., 90 days from patients hospital discharge.|F1-score, It combines precision and recall. It ranges from 0-100%, and a higher F1 score denotes a better quality classifier., 90 days from patients hospital discharge.|Confusion matrix, A visual representation of true positives, false positives, true negatives, and false negatives. It is depicted through a table., 90 days from patients hospital discharge.|Log-loss, It indicates how close the prediction probability is to the corresponding actual/true value (0 or 1 in case of binary classification). The more the predicted probability diverges from the actual value, the higher is the log-loss value., 90 days from patients hospital discharge.|Cohen's Kappa, A metric used to measure the level of agreement between two raters which can be a useful tool to gauge the performance of a classification model. It accounts for the fact that the raters may happen to agree on some items purely by chance. It varies between 0 (no correct prediction) to 1 (full correct predictions)., 90 days from patients hospital discharge.",,Centre Hospitalier Universitaire de Nice,,ALL,"ADULT, OLDER_ADULT",,250,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,25Chirdig01,2025-06-01,2026-06-01,2026-12-31,2025-05-02,,2025-05-02,,
NCT06954740,Clinical Study to Evaluate the Efficacy and Safety of Mesenchymal Stromal Cells (Amimestrocel ) in Patients With Acute Kidney Injury,https://clinicaltrials.gov/study/NCT06954740,MSC-AKI-001,NOT_YET_RECRUITING,This trial is to evaluate the efficacy and safety of Amimestrocel (human umbilical cord mesenchymal stromal cells) in the treatment of AKI patients.,NO,Acute Kidney Injury,DRUG: Amimestrocel,"serum creatinine, Change from baseline at 28 days","serum creatinine, Change from baseline at 8,15,21 days, and 2, 3 months.|Stage of AKI, Evaluate the staging of Acute Kidney Injury (AKI) according to KDIGO guidelines., Change from baseline at 8, 15, 21, 28 days, and 2, 3 months.|proportion of study participants with Renal Replacement Therapy(RRT), proportion of study participants with RRT at 4, 8, 12 weeks and 12, 24 months|APACHE II or APACHE III, Change from baseline at 8, 15, 21, 28 days, 2, 3,12, 24 months|SOFA, Sequential Organ Failure Assessment Score, Change from baseline at 8, 15, 21, 28 days, 2, 3,12, 24 months|all-cause mortality ratio, All-cause mortality ratio at 28 days|Mechanism exploration, Explore the mechanism through blood tests（Serum/plasma concentrations (pg/ml) of biomarkers of inflammation. Proportion/total number of circulating T cells, B cells, NK cells, etc ） and urine tests(mRNA, miRNA, etc), Change from baseline at 8, 15, 28 days, 3 months.|Adverse Event and Serious Adverse Event, Within 12 weeks after received Amimestrocel|secondary malignant disease, Within 24 months after received Amimestrocel",,Chinese PLA General Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE2,50,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,S2025-167|S2025-167,2025-05-15,2026-05-15,2028-05-15,2025-05-02,,2025-05-02,,
NCT06954727,China Pulmonary Vascular Disease Intervention Diagnosis and Management Study-A Quality Control on Right Heart Catheterization,https://clinicaltrials.gov/study/NCT06954727,CHALLENGE-RHC,RECRUITING,"Right heart catheterization(RHC) plays a crucial role in the diagnosis and treatment of pulmonary vascular diseases(PVD). In China, the lack of equipment and technical expertise has historically limited the implementation of RHC, thereby greatly restricting the diagnosis and treatment of RVD. In recent years, with improvements in these issues, more hospitals have acquired the capability to perform RHC. The purpose of this study is to conduct quality control of RHC across multiple pulmonary hypertension(PH) centers in China. The study population consists of patients who underwent RHC for the first time due to dyspnea or suspected PH. This study retrospectively and prospectively collects multicenter RHC data, with the main quality control contents including indications for the procedure, collection and analysis of hemodynamic data, diagnosis and treatment, and long-term management of patients.",NO,Pulmonary Hypertension|Pulmonary Embolism (Diagnosis)|Pulmonary Arterial Hypertension|Right Heart Catheterization,OTHER: No intervention; Observational study,"3-month all cause death, 3-month all cause death, 3 month","dignosis and type of pulmonary hypertension, dignosis and type of pulmonary hypertension according to latest guidelines, 1 month|1-year all cause death, 1-year all cause death, 1 year",,China-Japan Friendship Hospital,,ALL,"CHILD, ADULT, OLDER_ADULT",,10000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,CHALLENGE-RHC|2023YFC2507200,2018-01-01,2028-12-31,2030-12-31,2025-05-02,,2025-05-02,"China-Japan Friendship Hospital, Beijing, China",
NCT06954714,Late-lumen Changes After Drug-Coated Balloon Angioplasty Versus Drug-Eluting Stents in De Novo Coronary Lesions,https://clinicaltrials.gov/study/NCT06954714,LARGER-DCB,NOT_YET_RECRUITING,This study aims to compare late-lumen loss (LLL) between DCB and DES to treat de novo coronary artery stenosis by intravascular ultrasound (IVUS).,NO,Coronary Artery Disease,PROCEDURE: Drug-eluting stent implantation|PROCEDURE: Drug-coated balloon angioplasty,"Late-lumen loss, Mean difference of late-lumen loss between DCB and DES in IVUS, 9 months after last patient enrollment","Minimal lumen diameter in QCA, Mean difference of minimal lumen diameter in QCA, 9 months after last patient enrollment|% diameter stenosis in QCA, Mean difference of % diameter stenosis in QCA, 9 months after last patient enrollment|Minimal lumen diameter in IVUS, Mean difference of minimal lumen diameter in IVUS, 9 months after last patient enrollment|Cardiovascular death, Cardiovascular death, 1 year after last patient enrollment|All-cause death, All-cause death, 1 year after last patient enrollment|Rate of target vessel-MI, Target vessel-MI, 1 year after last patient enrollment|Rate of non-fatal MI, Non-fatal MI, 1 year after last patient enrollment|Rate of target lesion revascularization, Clinically indicated target lesion revascularization, 1 year after last patient enrollment|Rate of target vessel revascularization, Clinically indicated target vessel revascularization, 1 year after last patient enrollment|Rate of any revascularization, Any revascularization, 1 year after last patient enrollment|Rate of vessel or stent thrombosis, Definite or probable thrombosis, 1 year after last patient enrollment|Cardiovascular death or target vessel-related myocardial infarction, A composite of cardiovascular death or target vessel-related myocardial infarction, 1 year after last patient enrollment|All-cause death or non-fatal MI, A composite of all-cause death or non-fatal myocardial infarction, 1 year after last patient enrollment|Target vessel failure, A composite of cardiovascular death, target-vessel myocardial infarction, and clinically indicated target vessel revascularization, 1 year after last patient enrollment|Target lesion failure, A composite of cardiovascular death, target-vessel myocardial infarction, and clinically indicated target lesion revascularization, 1 year after last patient enrollment|Cardiovascular death, target-vessel MI, or vessel or stent thrombosis, A composite of cardiovascular death, target-vessel MI, or vessel or stent thrombosis, 1 year after last patient enrollment|All-cause death, non-fatal myocardial infarction, or target vessel revascularization, A composite of all-cause death, non-fatal myocardial infarction, or target vessel revascularization, 1 year after last patient enrollment|BARC type 2, 3, or 5 bleeding, BARC type 2, 3, or 5 bleeding, 1 year after last patient enrollment|Cerebrovascular accident, Ischemic stroke, hemorrhagic stroke, or transient ischemic attack, 1 year after last patient enrollment",,Chonnam National University Hospital,Boston Scientific Corporation,ALL,"ADULT, OLDER_ADULT",NA,256,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,CNUH-2025-115,2025-06-01,2027-12-31,2028-12-31,2025-05-02,,2025-05-02,"Chonnam National University, Gwangju, 61469, Korea, Republic of","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/14/NCT06954714/Prot_SAP_000.pdf"
NCT06954701,Evaluation of a Personalizable Pessary for Pelvic Organ Prolapse,https://clinicaltrials.gov/study/NCT06954701,NPP-POP,NOT_YET_RECRUITING,"Pelvic organ prolapse (POP) is a common health issue. It will impact about half of Canadian women over their lifetime. With POP, organs like the bladder, uterus, and bowel may push into the vagina. Women may experience urine leakage, physical discomfort, and embarrassment. Aside from surgery, a common treatment for POP is the use of pessaries. Pessaries are removable devices placed inside the vagina that can relieve POP symptoms. Unfortunately, pessaries have fixed sizes and three in ten patients cannot find the right fit. Pessaries can cause bleeding and discomfort if they do not fit well or are not removed and cleaned regularly. Almost half of patients who wear pessaries stop using them because of these issues. There is a need for a better pessary treatment for patients.

The investigators have developed a new pessary that has the natural shape of the vagina. This pessary is easier to remove and re-insert. The pessary is also custom fit for each patient. In this study, the investigators will compare our new pessary to traditional pessaries. Study participants who have been fit with a traditional pessary will be asked to use our new pessary design for 3 months. Study participants will fill out questionnaires about their POP symptoms. The investigators will also ask patients to provide their feedback on comfort and how easy it is to use the new pessary. This study could open up new possibilities for treating POP across Canada and around the world.",NO,Pelvic Organ Prolapse (POP),DEVICE: Novel Personalizable Pessary,"Change in Pelvic Floor Distress Inventory-20 (PFDI-20) score, Comparison of PFDI-20 scores between standard pessary and the study device. Score range 0-300, with higher scores indicating greater burden of pelvic floor symptoms., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).","Change in Pelvic Floor Impact Questionnaire (PFIQ-7), Comparison of PFIQ-7 scores between standard pessary to the study device. Scoring ranges from 0-300, with higher scores indicating increasing burden of symptoms., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Change in Patient Global Impression of Improvement (PGI-I), Change in PGI-I between standard pessary and study device. Utilized to assess symptoms of stress urinary incontinence. Scored from 1 (symptoms very much better) to 7 (symptoms very much worse)., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Change in the subscale Pelvic Organ Prolapse Distress Inventory-6 (POPDI-6)., Change in the POPDI-6 subscale within the PFDI-20 between standard pessary and study device. Scoring ranges from 0-100, with higher scores indicating increasing burden of symptoms., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Pelvic Organ Prolapse/Urinary Incontinence Sexual Questionnaire, International Urogynecologic Association-Revised (PISQ-IR), Change in PISQ-IR score between standard pessary and the study device. Scoring ranges from 0-300, with higher scores indicating increasing burden of symptoms., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Quality of life (QoL) questionnaire, i.e., the European-Quality of Life-5 Dimensions - 5 Levels (EQ-5D-5L), Change in EQ-5D-5L score between standard pessary and the study device. Scores from this tool range from 1 to 5, with higher numbers reflecting more severe problems, and are used to assess the areas of mobility, self-care, usual activities, pain/discomfort, and anxiety/depression., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Objective Pelvic Organ Prolapse - Quantification (POP-Q) Assessment, Comparison of points Ba and Bp in the POP-Q system between standard pessary and study device. Measurements on the POP-Q reflect objective measurements in centimetres of a patient's prolapse., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Visual Analogue Score (VAS) - Global Satisfaction, Comparison of global satisfaction between standard pessary and the study device using VAS. Measure from 0 to 100 with lower numbers representing lower satisfaction., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Visual Analogue Score (VAS) for Ease of Pessary Insertion, Comparison of VAS scores assessing ease of pessary insertion by study participants between standard pessary and study device. Scored from 0 to 100 with higher numbers reflecting easier pessary insertion., From enrolment to end of treatment.|Visual Analogue Score (VAS) for Self-Management, Comparison of VAS scores assessing self-management by study participants between standard pessary and study device. Score from 0 to 100 with higher scores indicating higher ability for patient self-management of the study device., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Visual Analogue Score (VAS) - Pain with Insertion, Comparison of VAS scores assessing pain associated with pessary insertion by study participants between standard pessary and study device. Scores from 0 to 100 with higher scores indicating higher levels of patient reported pain with pessary insertion., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Visual Analogue Score (VAS) - Pain with Device Removal, Comparison of VAS scores assessing pain with pessary removal by study participants between standard pessary and study device. Scores from 0 to 100 with higher scores indicating higher levels of patient reported pain with pessary removal., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Adherence, Assessment of patient self-reported adherence to treatment with standard pessary and study device., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).","Study Pessary Fit, Proportion of subjects successfully fit with the study pessary, Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Patient Self-Management, Percentage of patients able to self-manage the study pessary (self-reported)., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).|Change in frequency of pessary removal for self-managers, Assessment by self-report of frequency of pessary insertion/removal if independent with pessary care., Approximately 4 months (1 month of standard pessary use and 3 months of study device use).",University of Alberta,Alberta Innovates Health Solutions|Cosm Medical,FEMALE,"ADULT, OLDER_ADULT",NA,43,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,Pro00149345,2025-07,2026-10,2026-10,2025-05-01,,2025-05-01,"Dale Sheard Centre for Solutions in Women's Health, Edmonton, Alberta, T5H3V9, Canada",
NCT06954688,The Influence of Dry Needling for Hypertonia and Spasticity Treatment on Neuropathic Pain in Lower Extremity of Spinal Cord Injury: A Case Series Study,https://clinicaltrials.gov/study/NCT06954688,,TERMINATED,"Spinal cord injury is a life-changing event that places a burden on the healthcare system, including caregivers and affected individuals. Studies do not provide a conclusive incidence rate due to methodological differences. However, a trend observed in recent years is an increasing incidence among the elderly population due to falls or non-traumatic spinal cord injury.

The clinical consequences of spinal cord injury include pain and spasticity, in addition to loss of function and activity. On average, 69% of spinal cord injury patients report pain, with one-third experiencing severe pain. A similar prevalence is seen for spasticity, which is often underreported among spinal cord injury patients. Unlike pain, spasticity is considered a common symptom in chronic spinal cord injury, with at least 35% of the SCI population suffering from this sensorimotor control disorder. These two symptoms suggest a correlation, yet clear evidence is lacking.

The secondary aim of this study is to explain the mechanisms of action of Dry Needling at various levels to better determine which subgroup of spinal cord injury patients would benefit most. A targeted study could optimize the effects of such a treatment: a better understanding of the underlying mechanisms could help with patient stratification and promote a more individualized approach, taking into account the pathogenesis of spasticity and the different mechanisms that can effectively modulate it.

Additionally, this study examines the effect of the dry needling technique on hypertonia and spasticity in the spastic calf muscles of spinal cord injury patients. Research has already shown that this technique has acute effects on hypertonia and spasticity in stroke, multiple sclerosis, and Parkinson's disease. However, reliable research on spinal cord injury is lacking-currently, only a case report has investigated these effects. Therefore, this study is well-suited to build upon that case report and provide more evidence.

Furthermore, this study serves as a prospective study to observe the correlation between neuropathic pain and spasticity over time. As a pilot study, it has established a collaboration with the REVARTE rehabilitation hospital, which has a large spinal cord injury population.

The research will be conducted under the supervision of Prof. Dr. Steven Truijen (Universiteitsplein 1, 2610 Wilrijk, Belgium, steven.truijen@uantwerpen.be) and Prof. Dr. Wim Saeys (Universiteitsplein 1, 2610 Wilrijk, Belgium, wim.saeys@uantwerpen.be), organized from the University of Antwerp. During this study, no research costs will be charged to the patient, health insurance, or research environment.

Thank you in advance for your attention to our research.",NO,Neuropathic Pain|Spasticity|Dry Needling Technique|Spinal Cord Injury,OTHER: dry needling,"DN4 Questionnaire:, This questionnaire consists of ten items (four questions) on a total score of ten points. It has a cut-off of four points to identify the reported pain as neuropathic. The DN4 Questionnaire has been identified as a reliable and sensitive assessment for neuropathic pain, At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)|PainDetect Questionnaire(PD-Q), This questionnaire has been included to monitor pain severity and/or its time-dependent course17. It is a more extensive questionnaire In comparison to the DN4 Questionnaire despite having a lower sensitivity than the latter in SCI populationn16. Still, the PD-Q was chosen over the Leeds Assessment of Neuropathic Symptoms and Signs (LANSS) because of the difference between sensitivity (PD-Q 68% versus LANSS 36%)., At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)|The International Spinal Cord Injury Pain (ISCIP) Classification:, This classification fits as a valid assessment that is comprehensive and feasible in use for experienced as well as non-experiences clinicians and includes all types of pain related to Spinal Cord Injury., Twice: Pre-intervention period (week 1) and post-intervention period (week 8)","Modified Tardieu Scale, Is a 6 point scale from 0 to 5 which assess spasticity or hypertonia in three different velocities19. First the passive Range Of Motion (PROM) will be tested and identified as R2 (Full range of motion achieved when muscle is at rest and tested at V1 velocity). Next, Velocity V2 will be applied (see below) to identify any catch or resistance. Last, V3 velocity follows to identify R1 (Angle of catch seen at Velocity V3, or V2 if possible). Outcome data of this assessment will be R1, R2 and the grading of muscle resistance., Every week (week1 to week 8)|ASIA scale, A standard assessment of motor, sensory and reflex loss after spinal cord injury. The inter-rater as was intra-rater reliability are high (ICC's 0.88-0.96 and 0.98), Twice: Pre-intervention period (week 1) and post-intervention period (week 8)|Spinal Cord Independence Measure (SCIM), With a moderate to high Inter rater reliability ( 0.696- 0.983), this 17-item questionnaire on a scale of 100 points will assess the participant on activity level, At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)|Two minute walk test, The assessment is validated to be reliable in spinal cord injury (r = 0.980, p \< 0.001). The patient will be instructed before the test's start. Patient will be instructed to cover as much distance in two minutes with or without aid. The test requires two test samples before the actual test which also will be measured. Encouragement is allowed as well as sharing the half-time of the test. This test only applies for patients able/willing to walk., At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)|Quality of Life Questionaire(Sci-QoL), The assessment will be done before the intervention period (screening), during the intervention period once in the third week and one week after the intervention period. Specific for SCI population., At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)",,Universiteit Antwerpen,Revalidatieziekenhuis RevArte,ALL,"ADULT, OLDER_ADULT",NA,5,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,6585,2024-09-06,2025-02-04,2025-02-04,2025-05-01,,2025-05-01,"Department of Rehabilitation sciences and physiotherapy (MOVANT), Antwerpen, 2020 Antwerpen, Belgium",
NCT06954675,Comparison of Microbiome Changes in Healthy Adults Following Ketone Ester Consumption,https://clinicaltrials.gov/study/NCT06954675,BREAK,NOT_YET_RECRUITING,"The goal of this observational study is to learn if a ketone ester can improve the content of the gut microbiome. The main questions it aims to answer are:

* Does a ketone ester reduce age-related signatures in the gut microbiome?
* What changes occur in the gut microbiome after consuming a ketone ester?

Participants will:

* Take a ketone ester drink every day for seven (7) days
* Collect and ship stool samples within seven (7) days before, during, and within seven (7) days after the study period
* Measure their ketone levels with a urine strip every day after having the drink
* Answer questions about their typical diet on a normal day
* Record their symptoms, if any arise",NO,Microbiome Analysis,DIETARY_SUPPLEMENT: Exogenous ketone ester,"Longitudinal Change in Microbiome Composition, Microbiome composition will be defined as the following components: 1) alpha-diversity as calculated by Shannon Index; 2) beta-diversity; and 3) microbial community taxa and gene number., From baseline sampling to final sampling, including intervention period, at 21 days","Acute Tolerability Symptoms related to Product Ingestion, Symptoms will be assessed daily using a standardized Beverage Tolerability Questionnaire (Stubbs et al. J Nutr Health Aging 2024). Symptoms are rated on a scale of mild, moderate, and severe with the following symptoms: 1) gas/flatulence; 2) nausea; 3) vomiting; 4) abdominal cramping; 5) stomach rumbling; 6) burping; 7) reflux/heartburn; 8) diarrhea; 9) headache; and 10) dizziness., From start to end of intervention at 7 days",,"University of California, San Francisco",,ALL,ADULT,NA,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,25-43835,2025-05-24,2025-09-30,2025-09-30,2025-05-01,,2025-05-08,"UCSF Wayne and Gladys Valley Center for Vision, San Francisco, California, 94158, United States",
